Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Cold Fusion","Townhouse Boulder > Bow Ridge Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/112537688/cold-fusion,2.0,-1,Boulder,V6,1,12,42.50962,-71.0041
"Modern Warfare","Granola Boulders > East Side > Dykes Pond (Gloucester) > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108395621/modern-warfare,3.0,-1,Boulder,V6,1,15,42.60409,-70.72041
"Run Aground","Ship Rock > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/111941833/run-aground,3.0,-1,Boulder,V6,1,,42.49123,-70.99199
Conundrum,"Cavalry Boulder > 2. Central Sector > Cavalry Boulder Field aka Gymnasium aka Playground > Tompson St. Reservation > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108433627/conundrum,3.0,-1,Boulder,V6,1,15,42.62091,-70.72131
"Ice Pick","Decaf Boulder > Decaf Boulder > Overlook Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/112381458/ice-pick,3.0,-1,Boulder,V6,1,13,42.42568,-70.96637
"Memory Foam","Hill Top Boulders > Hilltop/ Egg Boulder Area > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/110366084/memory-foam,3.0,-1,Boulder,V6,1,12,42.63095,-70.66814
Optimist,"The Wall Boulder > Golf Course Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/108753226/optimist,3.0,-1,Boulder,V6,1,12,42.48916,-70.97628
"Super Glue","Cruise Ship Boulder > Essex Greenbelt Area > Tompson St. Reservation > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/110428948/super-glue,3.0,-1,Boulder,V6,1,10,42.63031,-70.72499
"Power is Pizza","Pizza Boulder > Haskell Pond AKA Redrock West > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/109211770/power-is-pizza,3.0,-1,Boulder,V6,1,,42.61932,-70.74322
"One Track Mind","The Megley Roof > Gilbert Hills State Park > Eastern, MA > Massachusetts",https://www.mountainproject.com/route/106895587/one-track-mind,3.0,-1,Boulder,V6,1,12,42.0539,-71.2837
"No Blasting Zone","Shrapnel Boulder > Rifle Range Boulders > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/109332030/no-blasting-zone,3.0,-1,Boulder,V6,1,13,42.64599,-70.67525
"Extended Warranty","Gravity Boulder > Town Line Boulders aka South Woods > Rockport South Woods > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/109083248/extended-warranty,3.0,-1,Boulder,V6,1,15,42.6192,-70.634
Matador,"Reservoir Boulder > Rifle Range Boulders > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108092228/matador,3.0,-1,Boulder,V6,1,12,42.63193,-70.65678
Scorpion,"Gravity Boulder > Town Line Boulders aka South Woods > Rockport South Woods > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/109083220/scorpion,3.0,-1,Boulder,V6,1,14,42.6192,-70.634
"Crank Shaft","Spiritual Power Boulder > Dogtown > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108092357/crank-shaft,3.0,-1,Boulder,V6,1,16,42.63807,-70.65239
"Double Cross","Drive Shaft Boulder > East Side > Dykes Pond (Gloucester) > Cape Ann > North Shore > Massachusetts",https://www.mountainproject.com/route/108163813/double-cross,3.0,-1,Boulder,V6,1,14,42.6135,-70.7202
"System Failure","Halfway Boulder > Ridge Boulders > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107185710/system-failure,3.0,-1,Boulder,V6,1,13,42.46729,-70.99508
"Body Armor","Additional Problems > Hillside Area > Sector Two > The Promised Land > Greater Lynn Woods Area > Lynn Woods > North Shore > Massachusetts",https://www.mountainproject.com/route/107320295/body-armor,3.0,-1,Boulder,V6,1,13,42.49968,-70.97631
